	B_ThCSE - FS_ThCSE	B_Th - FS_Th	diff_ThCSE_Th	pattern
ANGPT2	0	0	0	0x0x0
ANGPT4	0	0	0	0x0x0
ANGPTL1	0	0	0	0x0x0
ANGPTL2	0	0	0	0x0x0
ANGPTL3	0	0	0	0x0x0
ANGPTL4	0	1	0	0x1x0
ANGPTL5	0	0	0	0x0x0
ANGPTL6	1	1	0	1x1x0
ANGPTL7	0	0	0	0x0x0
ANK1	0	0	0	0x0x0
ANK2	0	0	0	0x0x0
ANK3	0	0	0	0x0x0
ANKAR	0	0	0	0x0x0
ANKDD1A	0	0	0	0x0x0
ANKFN1	0	0	0	0x0x0
ANKFY1	0	-1	0	0x1x0
ANKH	0	0	0	0x0x0
ANKHD1	0	0	0	0x0x0
ANKHD1-EIF4EBP3	0	0	0	0x0x0
ANKIB1	0	0	0	0x0x0
ANKK1	0	0	0	0x0x0
ANKLE1	0	0	0	0x0x0
ANKLE2	0	0	0	0x0x0
ANKMY1	0	0	0	0x0x0
ANKMY2	0	1	0	0x1x0
ANKRA2	0	0	0	0x0x0
ANKRD1	0	0	0	0x0x0
ANKRD10	0	0	0	0x0x0
ANKRD11	0	0	0	0x0x0
ANKRD12	0	0	0	0x0x0
ANKRD13A	0	0	0	0x0x0
ANKRD13B	0	0	0	0x0x0
ANKRD13C	0	0	0	0x0x0
ANKRD13D	0	0	0	0x0x0
ANKRD16	0	0	0	0x0x0
ANKRD17	0	0	0	0x0x0
ANKRD18A	0	0	0	0x0x0
ANKRD18B	0	0	0	0x0x0
ANKRD19	0	0	0	0x0x0
ANKRD2	0	0	0	0x0x0
ANKRD20A1	0	1	0	0x1x0
ANKRD20A2	0	0	0	0x0x0
ANKRD20A3	0	0	0	0x0x0
ANKRD20A4	0	0	0	0x0x0
ANKRD20B	0	0	0	0x0x0
ANKRD21	0	0	0	0x0x0
ANKRD22	0	0	0	0x0x0
ANKRD23	0	0	0	0x0x0
ANKRD24	0	0	0	0x0x0
ANKRD26	0	0	0	0x0x0
ANKRD27	0	0	0	0x0x0
ANKRD28	0	0	0	0x0x0
ANKRD29	0	0	0	0x0x0
ANKRD30A	0	0	0	0x0x0
ANKRD30B	0	0	0	0x0x0
ANKRD31	0	0	0	0x0x0
ANKRD32	0	0	0	0x0x0
ANKRD33	0	0	0	0x0x0
ANKRD34A	0	0	0	0x0x0
ANKRD34B	0	0	0	0x0x0
ANKRD34C	0	0	0	0x0x0
ANKRD35	0	0	0	0x0x0
ANKRD36	0	0	0	0x0x0
ANKRD36B	0	0	0	0x0x0
ANKRD37	1	1	0	1x1x0
ANKRD38	0	0	0	0x0x0
ANKRD39	0	0	0	0x0x0
ANKRD40	0	0	0	0x0x0
ANKRD41	0	0	0	0x0x0
ANKRD42	0	0	0	0x0x0
ANKRD43	0	0	0	0x0x0
ANKRD44	0	0	0	0x0x0
ANKRD45	0	0	0	0x0x0
ANKRD46	0	0	0	0x0x0
ANKRD47	0	0	0	0x0x0
ANKRD49	0	0	0	0x0x0
ANKRD5	0	0	0	0x0x0
ANKRD50	0	0	0	0x0x0
ANKRD52	0	0	0	0x0x0
ANKRD53	0	0	0	0x0x0
ANKRD54	0	0	0	0x0x0
ANKRD55	0	0	0	0x0x0
ANKRD56	0	0	0	0x0x0
ANKRD57	0	1	0	0x1x0
ANKRD58	0	0	0	0x0x0
ANKRD6	0	0	0	0x0x0
ANKRD7	0	0	0	0x0x0
ANKRD9	0	0	0	0x0x0
ANKS1A	0	0	0	0x0x0
ANKS1B	0	-1	0	0x1x0
ANKS3	0	0	0	0x0x0
ANKS4B	0	0	0	0x0x0
ANKS6	0	0	0	0x0x0
ANKZF1	1	1	0	1x1x0
ANLN	0	0	0	0x0x0
ANO1	0	0	0	0x0x0
ANO10	0	0	0	0x0x0
ANO2	0	0	0	0x0x0
ANO3	0	0	0	0x0x0
ANO4	0	0	0	0x0x0
ANO5	0	0	0	0x0x0
ANO6	1	1	0	1x1x0
ANO7	0	0	0	0x0x0
ANO8	0	0	0	0x0x0
ANO9	0	0	0	0x0x0
ANP32A	0	0	0	0x0x0
ANP32B	0	0	0	0x0x0
ANP32C	0	0	0	0x0x0
ANP32D	0	0	0	0x0x0
ANP32E	0	0	0	0x0x0
ANPEP	0	0	0	0x0x0
ANRIL	0	0	0	0x0x0
ANTXR1	0	0	0	0x0x0
ANTXR2	0	0	0	0x0x0
ANTXRL	0	0	0	0x0x0
ANUBL1	0	0	0	0x0x0
ANXA1	0	0	0	0x0x0
ANXA10	0	0	0	0x0x0
ANXA11	0	0	0	0x0x0
